platform,num_devices,records_per_device,duration_us,ops_per_sec,avg_round_time_us
native,1000,1000,735912,1358858.12,732.23
native,10000,1000,5484450,1823336.89,5480.14
native,100000,1000,48081339,2079808.97,48061.30
sgx,1000,1000,603781,1656229.66,601.64
sgx,10000,1000,5769954,1733116.07,5766.43
sgx,100000,1000,56748663,1762156.05,56732.01
terse-native,1000,1000,1937,516262261.23,1.19
terse-native,10000,1000,17493,571657234.32,16.91
terse-native,100000,1000,167715,596249590.08,167.11
terse-sgx,1000,1000,25652,38983315.14,25.36
terse-sgx,10000,1000,248740,40202621.21,248.44
terse-sgx,100000,1000,1988836,50280666.68,1988.55
terse-hybrid,1000,1000,1723,580383052.81,1.72
terse-hybrid,10000,1000,23318,428853246.41,23.31
terse-hybrid,100000,1000,145640,686624553.69,145.64
